y.year,m.month,z.zip,sum(c.amount)
2013,10,48106,0
2013,10,30701,0
2013,10,10918,0
2013,10,20003,0
2013,10,76262,0
2013,10,33036,0
2013,10,97008,0
2013,10,60611,0
2013,10,75229,0
2013,10,33166,0
2013,10,48176,0
2013,11,94027,0
2013,11,85375,0
2013,11,33332,0
2013,11,97008,0
2013,12,22313,0
2013,12,33432,0
2013,12,60120,0
2013,12,33332,0
2013,12,20002,0
2014,3,33090,920
2014,6,33480,-2600
2014,7,70003,201
2014,7,43016,250
2014,7,33912,500
2014,7,19073,250
2014,7,76262,202
2014,7,37067,250
2014,7,76453,1000
2014,7,94513,300
2014,7,96777,400
2014,7,12845,300
2014,7,98033,500
2014,7,38068,300
2014,7,30606,201
2014,7,75205,2600
2014,7,84404,500
2014,7,17055,500
2014,7,20007,2850
2014,7,33701,250
2014,7,42122,1000
2014,7,51031,500
2014,7,33455,400
2014,7,94024,1000
2014,8,30496,500
2014,8,92025,250
2014,8,68602,250
2014,8,40505,600
2014,8,60611,1000
2014,8,33701,2701
2014,8,74804,500
2014,8,76033,225
2014,8,15222,2500
2014,8,77534,250
2014,8,32092,350
2014,8,20016,250
2014,8,80916,250
2014,8,33458,500
2014,8,85210,50
2014,8,60035,250
2014,8,32967,250
2014,8,20006,1000
2014,8,40204,1000
2014,8,12589,201
2014,8,91750,300
2014,8,40207,1800
2014,8,91107,2500
2014,8,20005,1500
2014,9,77002,500
2014,9,43205,250
2014,9,12934,250
2014,9,11050,250
2014,9,76051,500
2014,9,92658,1000
2014,9,94596,250
2014,9,95825,500
2014,9,20004,2000
2014,9,70605,500
2014,9,41240,500
2014,9,33928,500
2014,9,83686,1000
2014,9,33910,1000
2014,9,27298,300
2014,9,22902,1000
2014,9,76033,225
2014,9,80701,1000
2014,9,34236,500
2014,9,20814,2000
2014,9,30342,2600
2014,9,95370,250
2014,9,48519,201
2014,9,94114,2000
2014,9,33303,250
2014,9,75034,2850
2014,9,85710,1000
2014,9,32507,500
2014,9,39236,1600
2014,9,33602,500
2014,9,32202,1000
2014,9,30067,150
2014,9,75025,500
2014,9,33880,1000
2014,9,98208,250
2014,9,77414,250
2014,9,82932,201
2014,9,45869,201
2014,9,24202,1000
2014,9,23233,1000
2014,9,40513,250
2014,9,14701,250
2014,9,40504,2500
2014,9,91105,250
2014,9,63122,1000
2014,9,42104,202
2014,9,27103,2600
2014,9,10514,500
2014,9,93907,400
2014,9,40516,250
2014,9,44266,500
2014,9,94526,500
2014,9,40390,1000
2014,9,83805,500
2014,9,20006,500
2014,9,29651,201
2014,9,28673,300
